id,qname,heading,text,type,diagram,website,updated
,RejectAction,RejectAction,The act of rejecting to/adopting an object.\n\nRelated actions:\n\n* [[AcceptAction]]: The antonym of RejectAction.,Class,http://schema.org/diagrams/RejectAction.dot.svg,http://schema.org/RejectAction,2026-07-24T12:31:48.132193
,LendAction,LendAction,The act of providing an object under an agreement that it will be returned at a later date. Reciprocal of BorrowAction.\n\nRelated actions:\n\n* [[BorrowAction]]: Reciprocal of LendAction.,Class,http://schema.org/diagrams/LendAction.dot.svg,http://schema.org/LendAction,2026-07-24T12:31:48.132193
,ViewAction,ViewAction,The act of consuming static visual content.,Class,http://schema.org/diagrams/ViewAction.dot.svg,http://schema.org/ViewAction,2026-07-24T12:31:48.132193
,ElectronicsStore,ElectronicsStore,An electronics store.,Class,http://schema.org/diagrams/ElectronicsStore.dot.svg,http://schema.org/ElectronicsStore,2026-07-24T12:31:48.132193
,InternetCafe,InternetCafe,An internet cafe.,Class,http://schema.org/diagrams/InternetCafe.dot.svg,http://schema.org/InternetCafe,2026-07-24T12:31:48.132193
,OnlineMarketplace,OnlineMarketplace,An eCommerce marketplace.,Class,http://schema.org/diagrams/OnlineMarketplace.dot.svg,http://schema.org/OnlineMarketplace,2026-07-24T12:31:48.132193
,RentalCarReservation,RentalCarReservation,"A reservation for a rental car.\n\nNote: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations.",Class,http://schema.org/diagrams/RentalCarReservation.dot.svg,http://schema.org/RentalCarReservation,2026-07-24T12:31:48.132193
,SizeGroupEnumeration,SizeGroupEnumeration,Enumerates common size groups for various product categories.,Class,http://schema.org/diagrams/SizeGroupEnumeration.dot.svg,http://schema.org/SizeGroupEnumeration,2026-07-24T12:31:48.132193
,DiscussionForumPosting,DiscussionForumPosting,A posting to a discussion forum.,Class,http://schema.org/diagrams/DiscussionForumPosting.dot.svg,http://schema.org/DiscussionForumPosting,2026-07-24T12:31:48.132193
,BedDetails,BedDetails,"An entity holding detailed information about the available bed types, e.g. the quantity of twin beds for a hotel room. For the single case of just one bed of a certain type, you can use bed directly with a text. See also [[BedType]] (under development).",Class,http://schema.org/diagrams/BedDetails.dot.svg,http://schema.org/BedDetails,2026-07-24T12:31:48.132193
,RealEstateListing,RealEstateListing,"A [[RealEstateListing]] is a listing that describes one or more real-estate [[Offer]]s (whose [[businessFunction]] is typically to lease out, or to sell).
  The [[RealEstateListing]] type itself represents the overall listing, as manifested in some [[WebPage]].
  ",Class,http://schema.org/diagrams/RealEstateListing.dot.svg,http://schema.org/RealEstateListing,2026-07-24T12:31:48.132193
,DefinedTerm,DefinedTerm,"A word, name, acronym, phrase, etc. with a formal definition. Often used in the context of category or subject classification, glossaries or dictionaries, product or creative work types, etc. Use the name property for the term being defined, use termCode if the term has an alpha-numeric code allocated, use description to provide the definition of the term. Use the about property to specify what the term is about.",Class,http://schema.org/diagrams/DefinedTerm.dot.svg,http://schema.org/DefinedTerm,2026-07-24T12:31:48.132193
,DonateAction,DonateAction,"The act of providing goods, services, or money without compensation, often for philanthropic reasons.",Class,http://schema.org/diagrams/DonateAction.dot.svg,http://schema.org/DonateAction,2026-07-24T12:31:48.132193
